Timestamp,Glyph Code,Chalice Type,F,R,C,Status,Layer 1 Loot,Layer 2 Loot,Layer 3 Loot,Layer 4 Loot,Layer 5 Loot,Unspecified Loot,Dungeon Notes / Comments
8/19/2015 18:21:52,87r2bfst,Lower Ailing Loran,,,C,Active,,,,,,,"1st layer boss: Keeper of the Old Lords, 2nd layer boss: Beast-possessed Soul, 3rd layer boss: Amygdala, 4th layer boss: Abhorrent Beast"
8/28/2015 12:00:18,y27k46gx,Lower Ailing Loran,F,R,C,Active,Lost Beast Claw,Claw mark rune (30% V.  Attack dmg) ,Lost Tonitris ,,,Huge amount of gems and amazing farming area next to layer 2 lantern,"Pretty easy bosses,  layer 1 is pig,  2 is easy beast possessed soul,  can't remember 3rd but was easy. "
8/30/2015 1:39:39,Jnhxjjsw,Sinister Pthumeru Ihyll,,,,Active,"Lost Burial Blade..  Super easy,  1st side area",Lost Blades of Mercy ,,,,"I had several great wisdom on thus run,  so likely even more great loot",
8/30/2015 2:23:41,8ikvrb4z,Pthumeru,,,,Active,uncanny saw cleaver,,,,,,
8/31/2015 0:26:10,9tagsfpp,Hintertomb,F,,,Active,uncanny hunter axe,,,,,blood gems,
9/4/2015 8:17:04,x57vz8zc,Central Pthumeru,F,,,Active,,,,,,Uncanny Threaded Cane and Uncanny Saw Spear,
9/26/2015 11:33:31,86qj2dsv,Sinister Hintertomb,,,,Active,,,Deep Sea rune (+100 frenzy),,,,"Rune located in 3rd layer bonus room, not corridors"
9/26/2015 11:34:08,86qj2dsv,Sinister Hintertomb,,,,Active,,,Deep Sea rune (+100 frenzy),,,,"Rune located in 3rd layer bonus room, not corridors"
,skmh4czx,Sinister Isz,,,,Active,,"Blood Rock, Lost Ludwig's Sword",Deep Sea Rune (+300 Frenzy Resist),,,,
,zzrk5bhj,Central Pthumeru,,,,Active,,Uncanny Threaded Cane,,,,,
,2yrgyfp4,Lower Pthumeru,,R,,Active,Uncanny Kirkhammer,,,,,,
,p6r3rbhn,Central Pthumeru,F,,,Active,"Uncanny Saw Spear, Uncanny Threaded Cane",,,,,,
,4rc2a7md,Sinister Hintertomb,,,,Active,,,Uncanny Stake Driver,,,,
,p7hgujmc,Central Pthumeru,,,,Active,,Uncanny Saw Spear,,,,,
,9vb3tzza,Pthumeru Ihyll,,,,Active,"Clockwise Rune +15%, Oedon Writhe Rune",,Blood Rock,,,,
,whav9i4n,Isz,,R,,Active,,,,,,Eye Rune (+100 item discovery),
,kkqmduet,Lower Loran,,,,Active,Uncanny Burial Blade,,,,,,
,nmjapuuu,Pthumeru Ihyll,,,,Active,,,Ring of Betrothal,,,,
,dry39ytc,Isz,F,R,,Active,Great Lake Rune (-5%),Deep Sea Rune (+300 Frenzy Resist),,,,,
,rhaiy2z5,Isz,,R,C,Active,,,Lost Threaded Cane,,,,
,42casima,Lower Pthumeru,,,,Active,,Lost Saw Spear,,,,,
,4uhnb7ky,Lower Pthumeru,,,,Active,,Uncanny Kirkhammer,,,,,
,jtjuh8gc,Lower Loran,F,R,C,Active,Anti-Clockwise Metamorphasis Rune (+20% Stam),,Fading Lake Rune (+10% Fire Resist),,,,
